"region","cell_class","panel","gene","bin","z_pre","offset","z_post"
"MTG","Astro","METAB","ENO1",0.75,-0.0896039706838211,5.77811448004009e-05,-0.0896617518286215
"MTG","Astro","METAB","ENO1",0.85,0.0165076779171292,-0.00660121207881921,0.0231088899959484
"MTG","Astro","METAB","ENO1",0.95,0.110475682522552,-0.0194205615898604,0.129896244112412
"MTG","Astro","METAB","ENO2",0.15,0.252528066160176,0.0158398877419187,0.236688178418258
"MTG","Astro","METAB","ENO2",0.25,0.0586448196047276,0.0116301375692127,0.0470146820355149
"MTG","Astro","METAB","ENO2",0.35,0.0150419385849052,0.00173785494192052,0.0133040836429846
"MTG","Astro","METAB","ENO2",0.45,-0.0316129739361102,0.0156015083396798,-0.0472144822757901
"MTG","Astro","METAB","ENO2",0.55,0.0960033811808819,0.00065879251592257,0.0953445886649594
"MTG","Astro","METAB","ENO2",0.65,-0.0237974224833913,0.0102102428535229,-0.0340076653369141
"MTG","Astro","METAB","ENO2",0.75,-0.0272846522764485,5.77811448004009e-05,-0.0273424334212489
"MTG","Astro","METAB","ENO2",0.85,-0.0390632092749919,-0.00660121207881921,-0.0324619971961727
"MTG","Astro","METAB","ENO2",0.95,-0.0403576041817427,-0.0194205615898604,-0.0209370425918823
"MTG","Astro","METAB","HK1",0.15,-0.0818544345381089,0.0158398877419187,-0.0976943222800276
"MTG","Astro","METAB","HK1",0.25,0.040568237074625,0.0116301375692127,0.0289380995054123
"MTG","Astro","METAB","HK1",0.35,-0.0891964572788452,0.00173785494192052,-0.0909343122207657
"MTG","Astro","METAB","HK1",0.45,-0.0652200874783063,0.0156015083396798,-0.0808215958179861
"MTG","Astro","METAB","HK1",0.55,0.161197359734886,0.00065879251592257,0.160538567218964
"MTG","Astro","METAB","HK1",0.65,-0.0620145893557571,0.0102102428535229,-0.07222483220928
"MTG","Astro","METAB","HK1",0.75,-0.0232173869134455,5.77811448004009e-05,-0.0232751680582459
"MTG","Astro","METAB","HK1",0.85,0.0345811563753959,-0.00660121207881921,0.0411823684542151
"MTG","Astro","METAB","HK1",0.95,-0.0194374157311039,-0.0194205615898604,-1.6854141243472e-05
"MTG","Astro","METAB","HK2",0.15,0.164247862661093,0.0158398877419187,0.148407974919175
"MTG","Astro","METAB","HK2",0.25,0.0283529866018045,0.0116301375692127,0.0167228490325919
"MTG","Astro","METAB","HK2",0.35,0.0766390185395258,0.00173785494192052,0.0749011635976053
"MTG","Astro","METAB","HK2",0.45,0.381738716110559,0.0156015083396798,0.366137207770879
"MTG","Astro","METAB","HK2",0.55,0.0974793107239929,0.00065879251592257,0.0968205182080703
"MTG","Astro","METAB","HK2",0.65,0.00119417501850403,0.0102102428535229,-0.00901606783501885
"MTG","Astro","METAB","HK2",0.75,-0.0774918208336657,5.77811448004009e-05,-0.0775496019784661
"MTG","Astro","METAB","HK2",0.85,-0.075393770249975,-0.00660121207881921,-0.0687925581711558
"MTG","Astro","METAB","HK2",0.95,-0.0409899243323839,-0.0194205615898604,-0.0215693627425234
"MTG","Astro","METAB","GPI",0.15,-0.0120741854044,0.0158398877419187,-0.0279140731463187
"MTG","Astro","METAB","GPI",0.25,0.0498711203179056,0.0116301375692127,0.0382409827486929
"MTG","Astro","METAB","GPI",0.35,-0.0107455695743934,0.00173785494192052,-0.0124834245163139
"MTG","Astro","METAB","GPI",0.45,0.0510428178740187,0.0156015083396798,0.0354413095343388
"MTG","Astro","METAB","GPI",0.55,0.238712772529798,0.00065879251592257,0.238053980013875
"MTG","Astro","METAB","GPI",0.65,-0.0185456002792361,0.0102102428535229,-0.028755843132759
"MTG","Astro","METAB","GPI",0.75,-0.0158900261091364,5.77811448004009e-05,-0.0159478072539368
"MTG","Astro","METAB","GPI",0.85,-0.0706638507312245,-0.00660121207881921,-0.0640626386524053
"MTG","Astro","METAB","GPI",0.95,-0.0641753244673058,-0.0194205615898604,-0.0447547628774453
"MTG","Astro","METAB","SLC2A1",0.15,0.143831245530441,0.0158398877419187,0.127991357788522
"MTG","Astro","METAB","SLC2A1",0.25,-0.0470834267794739,0.0116301375692127,-0.0587135643486866
"MTG","Astro","METAB","SLC2A1",0.35,0.0426238270335321,0.00173785494192052,0.0408859720916116
"MTG","Astro","METAB","SLC2A1",0.45,0.183993309439502,0.0156015083396798,0.168391801099823
"MTG","Astro","METAB","SLC2A1",0.55,-0.0266587883822596,0.00065879251592257,-0.0273175808981822
"MTG","Astro","METAB","SLC2A1",0.65,0.00419088119601875,0.0102102428535229,-0.00601936165750413
"MTG","Astro","METAB","SLC2A1",0.75,-0.0467707061165911,5.77811448004009e-05,-0.0468284872613915
"MTG","Astro","METAB","SLC2A1",0.85,0.00138505323030211,-0.00660121207881921,0.00798626530912132
"MTG","Astro","METAB","SLC2A1",0.95,0.010047332905253,-0.0194205615898604,0.0294678944951135
"MTG","Astro","METAB","SLC2A3",0.15,0.311675342040515,0.0158398877419187,0.295835454298596
"MTG","Astro","METAB","SLC2A3",0.25,0.220060896361865,0.0116301375692127,0.208430758792653
"MTG","Astro","METAB","SLC2A3",0.35,-0.0217422169765632,0.00173785494192052,-0.0234800719184837
